Price,Salary,Age,Rooms,Bedrooms,Population,Household,Classifier
452600,8.33,41,880,129,322,126,TRUE
358500,8.3,21,7099,1106,2401,1138,TRUE
352100,7.26,52,1467,190,496,177,TRUE
341300,5.64,52,1274,235,558,219,TRUE
342200,3.85,52,1627,280,565,259,TRUE
269700,4.04,52,919,213,413,193,FALSE
299200,3.66,52,2535,489,1094,514,FALSE
241400,3.12,52,3104,687,1157,647,FALSE
226700,2.08,42,2555,665,1206,595,TRUE
261100,3.69,52,3549,707,1551,714,TRUE
281500,3.2,52,2202,434,910,402,TRUE
241800,3.27,52,3503,752,1504,734,FALSE
213500,3.08,52,2491,474,1098,468,TRUE
191300,2.67,52,696,191,345,174,FALSE
159200,1.92,52,2643,626,1212,620,TRUE
140000,2.13,50,1120,283,697,264,FALSE
152500,2.77,52,1966,347,793,331,TRUE
155500,2.12,52,1228,293,648,303,FALSE
158700,1.99,50,2239,455,990,419,TRUE
162900,2.6,52,1503,298,690,275,TRUE
147500,1.36,40,751,184,409,166,TRUE
159800,1.71,42,1639,367,929,366,TRUE
113900,1.73,52,2436,541,1015,478,FALSE
99700,2.18,52,1688,337,853,325,FALSE
132600,2.6,52,2224,437,1006,422,FALSE
107500,2.4,41,535,123,317,119,FALSE
93800,2.46,49,1130,244,607,239,FALSE
105500,1.81,52,1898,421,1102,397,TRUE
108900,1.64,50,2082,492,1131,473,TRUE
132000,1.69,52,729,160,395,155,TRUE
122300,1.93,49,1916,447,863,378,FALSE
115200,1.96,52,2153,481,1168,441,TRUE
110400,1.8,48,1922,409,1026,335,FALSE
104900,1.38,49,1655,366,754,329,FALSE
109700,2.73,51,2665,574,1258,536,FALSE
97200,1.49,49,1215,282,570,264,TRUE
104500,1.1,48,1798,432,987,374,FALSE
103900,1.41,52,1511,390,901,403,TRUE
191400,3.48,52,1470,330,689,309,FALSE
176000,2.59,52,2432,715,1377,696,TRUE
155400,2.1,52,1665,419,946,395,FALSE
150000,1.29,51,936,311,517,249,TRUE
118800,1.02,49,713,202,462,189,FALSE
188800,3.96,52,950,202,467,198,TRUE
184400,3.01,52,1443,311,660,292,TRUE
182300,2.68,52,1656,420,718,382,TRUE
142500,2.03,50,1125,322,616,304,FALSE
137500,1.73,43,1007,312,558,253,FALSE
187500,0.95,40,624,195,423,160,TRUE
112500,1.77,40,946,375,700,352,FALSE
171900,0.92,21,896,453,735,438,FALSE
93800,1.5,43,1868,456,1061,407,TRUE
97500,1.11,41,3221,853,1959,720,TRUE
104200,1.25,52,1630,456,1162,400,TRUE
87500,1.61,52,1170,235,701,233,TRUE
83100,1.41,52,945,243,576,220,FALSE
87500,1.51,52,1238,288,622,259,FALSE
85300,0.82,52,1489,335,728,244,TRUE
80300,1.22,52,1387,341,1074,304,FALSE
60000,2.56,2,158,43,94,57,FALSE
75700,3.39,52,1121,211,554,187,TRUE
75000,6.12,49,135,29,86,23,TRUE
86100,0.9,50,760,190,377,122,FALSE
76100,1.19,52,1224,237,521,159,TRUE
73500,2.59,48,828,182,392,133,FALSE
78400,1.17,52,1010,209,604,187,FALSE
84400,0.81,48,1455,354,788,332,TRUE
81300,2.61,52,1027,244,492,147,TRUE
85000,1.85,52,572,109,274,82,TRUE
129200,0.98,46,2801,644,1823,611,TRUE
82500,1.77,26,768,152,392,127,TRUE
95200,0.73,46,935,297,582,277,TRUE
75000,1.75,49,844,204,560,152,TRUE
67500,0.5,46,12,4,18,7,FALSE
137500,2.48,20,835,161,290,133,FALSE
177500,0.92,17,1237,462,762,439,FALSE
102100,2.45,36,2914,562,1236,509,TRUE
108300,1.11,19,1207,243,721,207,FALSE
112500,0.8,23,1745,374,1054,325,TRUE
131300,2.01,38,684,176,344,155,TRUE
162500,1.5,17,924,289,609,289,TRUE
112500,1.17,52,210,56,183,56,FALSE
112500,1.52,52,340,97,200,87,FALSE
137500,0.81,52,386,164,346,155,FALSE
118800,1.81,35,948,184,467,169,FALSE
98200,2.41,52,773,143,377,115,FALSE
118800,0.98,40,880,451,582,380,FALSE
162500,0.76,10,875,348,546,330,TRUE
137500,0.97,10,105,42,125,39,TRUE
500001,1.24,52,249,78,396,85,FALSE
162500,2.09,16,994,392,800,362,TRUE
137500,0.87,52,215,87,904,88,FALSE
162500,0.75,52,96,31,191,34,FALSE
187500,2.64,27,1055,347,718,302,FALSE
179200,1.85,39,1715,623,1327,467,FALSE
130000,2.01,36,5329,2477,3469,2323,FALSE
183800,2.83,31,4596,1331,2048,1180,FALSE
125000,2.01,29,335,107,202,91,TRUE
170000,1.22,22,3682,1270,2024,1250,FALSE
193100,2.61,37,3633,1085,1838,980,TRUE
